Document_ID,Status,In_SAP,In_PDF,Is_Duplicate,File_Path
26202104,MISSING_PDF,YES,NO,NO,
26202105,MISSING_PDF,YES,NO,NO,
26202106,MISSING_PDF,YES,NO,NO,
26202107,MISSING_PDF,YES,NO,NO,
26202108,MISSING_PDF,YES,NO,NO,
26202109,MISSING_PDF,YES,NO,NO,
26202110,MISSING_PDF,YES,NO,NO,
26202111,MISSING_PDF,YES,NO,NO,
26202113,MISSING_PDF,YES,NO,NO,
26202115,MISSING_PDF,YES,NO,NO,
26202116,MISSING_PDF,YES,NO,NO,
26202117,MISSING_PDF,YES,NO,NO,
26202118,MISSING_PDF,YES,NO,NO,
26202119,MISSING_PDF,YES,NO,NO,
26202120,MISSING_PDF,YES,NO,NO,
26202121,MISSING_PDF,YES,NO,NO,
26202122,MISSING_PDF,YES,NO,NO,
26202123,MISSING_PDF,YES,NO,NO,
26202124,MISSING_PDF,YES,NO,NO,
26202127,MISSING_PDF,YES,NO,NO,
26202128,MISSING_PDF,YES,NO,NO,
26202132,MISSING_PDF,YES,NO,NO,
26202133,MISSING_PDF,YES,NO,NO,
26202134,MISSING_PDF,YES,NO,NO,
26202135,MISSING_PDF,YES,NO,NO,
26202136,MISSING_PDF,YES,NO,NO,
26202137,MISSING_PDF,YES,NO,NO,
26202138,MISSING_PDF,YES,NO,NO,
26202139,MISSING_PDF,YES,NO,NO,
26202140,MISSING_PDF,YES,NO,NO,
26202141,MISSING_PDF,YES,NO,NO,
26202142,MISSING_PDF,YES,NO,NO,
26202143,MISSING_PDF,YES,NO,NO,
26202144,MISSING_PDF,YES,NO,NO,
26202146,MISSING_PDF,YES,NO,NO,
26202147,MISSING_PDF,YES,NO,NO,
26202149,MISSING_PDF,YES,NO,NO,
26202150,MISSING_PDF,YES,NO,NO,
26202151,MISSING_PDF,YES,NO,NO,
26202153,MISSING_PDF,YES,NO,NO,
26202154,MISSING_PDF,YES,NO,NO,
26202155,MISSING_PDF,YES,NO,NO,
26202156,MISSING_PDF,YES,NO,NO,
26202157,MISSING_PDF,YES,NO,NO,
26202158,MISSING_PDF,YES,NO,NO,
26202159,MISSING_PDF,YES,NO,NO,
26202162,MISSING_PDF,YES,NO,NO,
26202163,MISSING_PDF,YES,NO,NO,
26202164,MISSING_PDF,YES,NO,NO,
26202165,MISSING_PDF,YES,NO,NO,
26202166,MISSING_PDF,YES,NO,NO,
26202167,MISSING_PDF,YES,NO,NO,
26202168,MISSING_PDF,YES,NO,NO,
26202171,MISSING_PDF,YES,NO,NO,
26202174,MISSING_PDF,YES,NO,NO,
26202175,MISSING_PDF,YES,NO,NO,
26202176,MISSING_PDF,YES,NO,NO,
26202177,MISSING_PDF,YES,NO,NO,
26202178,MISSING_PDF,YES,NO,NO,
26202179,MISSING_PDF,YES,NO,NO,
26202181,MISSING_PDF,YES,NO,NO,
26202182,MISSING_PDF,YES,NO,NO,
26202183,MISSING_PDF,YES,NO,NO,
26202184,MISSING_PDF,YES,NO,NO,
26202185,MISSING_PDF,YES,NO,NO,
26202186,MISSING_PDF,YES,NO,NO,
26202187,MISSING_PDF,YES,NO,NO,
26202188,MISSING_PDF,YES,NO,NO,
26202189,MISSING_PDF,YES,NO,NO,
26202190,MISSING_PDF,YES,NO,NO,
26202191,MISSING_PDF,YES,NO,NO,
26202192,MISSING_PDF,YES,NO,NO,
